p: ../results/model_2/teaspoon_tgt_68
--------------------------------------------------
Column   | Rank   | Position   | Value       
microwave oven | 4      | 9          | 4.0000      
microwave oven | 5      | 6          | 4.0000      
microwave oven | 6      | 5          | 4.0000      
microwave oven | 7      | 18         | 3.0000      
microwave oven | 8      | 23         | 2.0000      
microwave oven | 9      | 11         | 2.0000      
microwave oven | 10     | 27         | 2.0000      

giraffe  | 1      | 4          | 13.0000     
giraffe  | 2      | 0          | 11.0000     
giraffe  | 3      | 76         | 6.0000      
giraffe  | 4      | 34         | 6.0000      
giraffe  | 5      | 7          | 5.0000      
giraffe  | 6      | 109        | 5.0000      
giraffe  | 7      | 78         | 4.0000      
giraffe  | 8      | 113        | 4.0000      
giraffe  | 9      | 19         | 4.0000      
giraffe  | 10     | 37         | 3.0000      

person + car | 1      | 199        | 93289.0000  
person + car | 2      | 195        | 92988.0000  
person + car | 3      | 197        | 92879.0000  
person + car | 4      | 193        | 92837.0000  
person + car | 5      | 198        | 92836.0000  
person + car | 6      | 192        | 92818.0000  
person + car | 7      | 196        | 92763.0000  
person + car | 8      | 189        | 92706.0000  
person + car | 9      | 191        | 92679.0000  
person + car | 10     | 190        | 92626.0000  

total    | 1      | 199        | 93898.0000  
total    | 2      | 195        | 93574.0000  
total    | 3      | 192        | 93501.0000  
total    | 4      | 193        | 93497.0000  
total    | 5      | 198        | 93483.0000  
total    | 6      | 197        | 93477.0000  
total    | 7      | 196        | 93388.0000  
total    | 8      | 189        | 93355.0000  
total    | 9      | 191        | 93329.0000  
total    | 10     | 190        | 93245.0000  

==================================================

p: ../results/model_2/teaspoon_tgt_23
--------------------------------------------------
Column   | Rank   | Position   | Value       
--------------------------------------------------
person   | 1      | 0          | 759.0000    
person   | 2      | 19         | 527.0000    
person   | 3      | 27         | 498.0000    
person   | 4      | 17         | 496.0000    
person   | 5      | 16         | 494.0000    
person   | 6      | 14         | 493.0000    
person   | 7      | 23         | 477.0000    
person   | 8      | 15         | 466.0000    
person   | 9      | 12         | 465.0000    
person   | 10     | 13         | 451.0000    

car      | 1      | 75         | 108.0000    
car      | 2      | 152        | 106.0000    
car      | 3      | 189        | 105.0000    
car      | 4      | 186        | 104.0000    
car      | 5      | 86         | 102.0000    
car      | 6      | 104        | 101.0000    
car      | 7      | 178        | 99.0000     
car      | 8      | 154        | 99.0000     
car      | 9      | 134        | 98.0000     
car      | 10     | 142        | 98.0000     

microwave oven | 1      | 0          | 7.0000      
microwave oven | 2      | 1          | 4.0000      
microwave oven | 3      | 2          | 3.0000      
microwave oven | 4      | 6          | 2.0000      
microwave oven | 5      | 26         | 2.0000      
microwave oven | 6      | 30         | 2.0000      
microwave oven | 7      | 21         | 1.0000      
microwave oven | 8      | 22         | 1.0000      
microwave oven | 9      | 20         | 1.0000      
microwave oven | 10     | 18         | 1.0000      

giraffe  | 1      | 199        | 88509.0000  
giraffe  | 2      | 197        | 88398.0000  
giraffe  | 3      | 198        | 88181.0000  
giraffe  | 4      | 185        | 88181.0000  
giraffe  | 5      | 191        | 88131.0000  
giraffe  | 6      | 196        | 88119.0000  
giraffe  | 7      | 194        | 88092.0000  
giraffe  | 8      | 189        | 87845.0000  
giraffe  | 9      | 192        | 87756.0000  
giraffe  | 10     | 195        | 87718.0000  

person + car | 1      | 0          | 844.0000    
person + car | 2      | 19         | 563.0000    
person + car | 3      | 27         | 541.0000    
person + car | 4      | 17         | 525.0000    
person + car | 5      | 16         | 520.0000    
person + car | 6      | 14         | 514.0000    
person + car | 7      | 23         | 507.0000    
person + car | 8      | 15         | 495.0000    
person + car | 9      | 12         | 483.0000    
person + car | 10     | 13         | 482.0000    

total    | 1      | 199        | 89146.0000  
total    | 2      | 197        | 88993.0000  
total    | 3      | 198        | 88858.0000  
total    | 4      | 185        | 88836.0000  
total    | 5      | 196        | 88784.0000  
total    | 6      | 194        | 88757.0000  
total    | 7      | 191        | 88700.0000  
total    | 8      | 189        | 88520.0000  
total    | 9      | 195        | 88389.0000  
total    | 10     | 192        | 88373.0000  

==================================================

p: ../results/model_2/teastatic_tgt_68
--------------------------------------------------
Column   | Rank   | Position   | Value       
--------------------------------------------------
person   | 1      | 0          | 759.0000    
person   | 2      | 80         | 503.0000    
person   | 3      | 78         | 501.0000    
person   | 4      | 109        | 490.0000    
person   | 5      | 88         | 490.0000    
person   | 6      | 70         | 489.0000    
person   | 7      | 77         | 488.0000    
person   | 8      | 66         | 486.0000    
person   | 9      | 116        | 486.0000    
person   | 10     | 107        | 483.0000    

car      | 1      | 66         | 133.0000    
car      | 2      | 50         | 130.0000    
