p: ../results/model_2/teaspoon_tgt_68
--------------------------------------------------
Column   | Rank   | Position   | Value       
car      | 2      | 2          | 42.0000     
car      | 3      | 0          | 40.0000     
car      | 4      | 193        | 28.0000     
car      | 5      | 4          | 26.0000     
car      | 6      | 191        | 25.0000     
car      | 7      | 179        | 25.0000     
car      | 8      | 7          | 25.0000     
car      | 9      | 145        | 23.0000     
car      | 10     | 177        | 22.0000     

microwave oven | 1      | 0          | 5.0000      
microwave oven | 2      | 6          | 3.0000      
microwave oven | 3      | 1          | 2.0000      
microwave oven | 4      | 4          | 2.0000      
microwave oven | 5      | 5          | 1.0000      
microwave oven | 6      | 3          | 1.0000      
microwave oven | 7      | 2          | 1.0000      
microwave oven | 8      | 135        | 0.0000      
microwave oven | 9      | 136        | 0.0000      
microwave oven | 10     | 134        | 0.0000      

giraffe  | 1      | 133        | 12.0000     
giraffe  | 2      | 144        | 11.0000     
giraffe  | 3      | 168        | 10.0000     
giraffe  | 4      | 195        | 10.0000     
giraffe  | 5      | 14         | 9.0000      
giraffe  | 6      | 193        | 9.0000      
giraffe  | 7      | 151        | 9.0000      
giraffe  | 8      | 6          | 9.0000      
giraffe  | 9      | 163        | 8.0000      
giraffe  | 10     | 170        | 8.0000      

person + car | 1      | 195        | 86000.0000  
person + car | 2      | 198        | 85945.0000  
person + car | 3      | 197        | 85833.0000  
person + car | 4      | 199        | 85811.0000  
person + car | 5      | 196        | 85770.0000  
person + car | 6      | 189        | 85134.0000  
person + car | 7      | 190        | 85106.0000  
person + car | 8      | 191        | 85106.0000  
person + car | 9      | 194        | 85064.0000  
person + car | 10     | 193        | 84925.0000  

total    | 1      | 195        | 86389.0000  
total    | 2      | 198        | 86281.0000  
total    | 3      | 197        | 86195.0000  
total    | 4      | 196        | 86176.0000  
total    | 5      | 199        | 86169.0000  
total    | 6      | 189        | 85533.0000  
total    | 7      | 190        | 85505.0000  
total    | 8      | 191        | 85472.0000  
total    | 9      | 194        | 85466.0000  
total    | 10     | 193        | 85285.0000  

==================================================

p: ../results/model_1/teastatic_tgt_2
--------------------------------------------------
Column   | Rank   | Position   | Value       
--------------------------------------------------
person   | 1      | 0          | 493.0000    
person   | 2      | 7          | 414.0000    
person   | 3      | 36         | 392.0000    
person   | 4      | 3          | 387.0000    
person   | 5      | 39         | 386.0000    
person   | 6      | 4          | 383.0000    
person   | 7      | 5          | 381.0000    
person   | 8      | 6          | 381.0000    
person   | 9      | 1          | 380.0000    
person   | 10     | 29         | 380.0000    

car      | 1      | 199        | 90043.0000  
car      | 2      | 196        | 89745.0000  
car      | 3      | 197        | 89626.0000  
car      | 4      | 193        | 89571.0000  
car      | 5      | 198        | 89533.0000  
car      | 6      | 188        | 89252.0000  
car      | 7      | 192        | 89099.0000  
car      | 8      | 189        | 88937.0000  
car      | 9      | 191        | 88936.0000  
car      | 10     | 194        | 88895.0000  

microwave oven | 1      | 1          | 6.0000      
microwave oven | 2      | 0          | 5.0000      
microwave oven | 3      | 3          | 4.0000      
microwave oven | 4      | 22         | 3.0000      
microwave oven | 5      | 21         | 3.0000      
microwave oven | 6      | 20         | 3.0000      
microwave oven | 7      | 5          | 3.0000      
microwave oven | 8      | 2          | 3.0000      
microwave oven | 9      | 4          | 3.0000      
microwave oven | 10     | 36         | 2.0000      

giraffe  | 1      | 0          | 6.0000      
giraffe  | 2      | 1          | 3.0000      
giraffe  | 3      | 3          | 2.0000      
giraffe  | 4      | 60         | 1.0000      
giraffe  | 5      | 117        | 1.0000      
giraffe  | 6      | 191        | 1.0000      
giraffe  | 7      | 123        | 1.0000      
giraffe  | 8      | 136        | 1.0000      
giraffe  | 9      | 161        | 1.0000      
giraffe  | 10     | 163        | 1.0000      

person + car | 1      | 199        | 90307.0000  
person + car | 2      | 196        | 89998.0000  
person + car | 3      | 197        | 89888.0000  
person + car | 4      | 193        | 89830.0000  
person + car | 5      | 198        | 89797.0000  
person + car | 6      | 188        | 89513.0000  
person + car | 7      | 192        | 89368.0000  
person + car | 8      | 189        | 89196.0000  
person + car | 9      | 191        | 89194.0000  
person + car | 10     | 194        | 89168.0000  

total    | 1      | 199        | 90775.0000  
total    | 2      | 196        | 90486.0000  
total    | 3      | 197        | 90354.0000  
total    | 4      | 193        | 90326.0000  
total    | 5      | 198        | 90241.0000  
total    | 6      | 188        | 90023.0000  
total    | 7      | 192        | 89864.0000  
total    | 8      | 191        | 89658.0000  
total    | 9      | 189        | 89647.0000  
total    | 10     | 194        | 89641.0000  

==================================================

p: ../results/model_1/teaspoon_tgt_0_2
--------------------------------------------------
Column   | Rank   | Position   | Value       
--------------------------------------------------
person   | 1      | 191        | 49432.0000  
person   | 2      | 198        | 49337.0000  
person   | 3      | 193        | 49078.0000  
person   | 4      | 188        | 49074.0000  
person   | 5      | 195        | 48996.0000  
person   | 6      | 176        | 48852.0000  
person   | 7      | 180        | 48554.0000  
person   | 8      | 184        | 48491.0000  
person   | 9      | 182        | 48202.0000  
person   | 10     | 190        | 48157.0000  

car      | 1      | 199        | 48759.0000  
car      | 2      | 197        | 47857.0000  
car      | 3      | 177        | 47705.0000  
car      | 4      | 187        | 47651.0000  
car      | 5      | 161        | 47342.0000  
car      | 6      | 179        | 47290.0000  
car      | 7      | 189        | 47173.0000  
car      | 8      | 194        | 47013.0000  
car      | 9      | 196        | 46904.0000  
car      | 10     | 192        | 46891.0000  

microwave oven | 1      | 0          | 5.0000      
microwave oven | 2      | 153        | 5.0000      
microwave oven | 3      | 167        | 5.0000      
microwave oven | 4      | 106        | 5.0000      
microwave oven | 5      | 39         | 4.0000      
microwave oven | 6      | 179        | 4.0000      
microwave oven | 7      | 115        | 4.0000      
microwave oven | 8      | 41         | 4.0000      
microwave oven | 9      | 178        | 4.0000      
microwave oven | 10     | 36         | 4.0000      

giraffe  | 1      | 135        | 8.0000      
giraffe  | 2      | 199        | 8.0000      
giraffe  | 3      | 174        | 8.0000      
giraffe  | 4      | 176        | 8.0000      
giraffe  | 5      | 190        | 7.0000      
giraffe  | 6      | 191        | 7.0000      
giraffe  | 7      | 140        | 7.0000      
giraffe  | 8      | 161        | 7.0000      
giraffe  | 9      | 194        | 7.0000      
giraffe  | 10     | 180        | 6.0000      

person + car | 1      | 199        | 96624.0000  
person + car | 2      | 193        | 95403.0000  
person + car | 3      | 198        | 95305.0000  
person + car | 4      | 197        | 95190.0000  
person + car | 5      | 195        | 95024.0000  
person + car | 6      | 192        | 94668.0000  
person + car | 7      | 194        | 94659.0000  
person + car | 8      | 190        | 94541.0000  
person + car | 9      | 196        | 94513.0000  
person + car | 10     | 189        | 94501.0000  

total    | 1      | 199        | 97111.0000  
total    | 2      | 193        | 95913.0000  
total    | 3      | 198        | 95794.0000  
total    | 4      | 197        | 95677.0000  
total    | 5      | 195        | 95557.0000  
total    | 6      | 194        | 95171.0000  
total    | 7      | 192        | 95131.0000  
total    | 8      | 190        | 95063.0000  
total    | 9      | 196        | 95019.0000  
total    | 10     | 189        | 94973.0000  

==================================================

p: ../results/model_1/teaspoon_tgt_2
--------------------------------------------------
Column   | Rank   | Position   | Value       
--------------------------------------------------
person   | 1      | 0          | 493.0000    
person   | 2      | 6          | 435.0000    
person   | 3      | 41         | 395.0000    
person   | 4      | 3          | 391.0000    
person   | 5      | 30         | 389.0000    
person   | 6      | 44         | 385.0000    
person   | 7      | 34         | 385.0000    
person   | 8      | 42         | 384.0000    
person   | 9      | 40         | 384.0000    
person   | 10     | 7          | 382.0000    

car      | 1      | 198        | 90812.0000  
car      | 2      | 199        | 90770.0000  
car      | 3      | 195        | 90732.0000  
car      | 4      | 196        | 90612.0000  
car      | 5      | 194        | 90430.0000  
car      | 6      | 191        | 90407.0000  
car      | 7      | 197        | 90381.0000  
car      | 8      | 190        | 90378.0000  
car      | 9      | 189        | 90313.0000  
car      | 10     | 188        | 90279.0000  

microwave oven | 1      | 1          | 6.0000      
microwave oven | 2      | 66         | 5.0000      
microwave oven | 3      | 123        | 5.0000      
microwave oven | 4      | 17         | 5.0000      
microwave oven | 5      | 57         | 5.0000      
microwave oven | 6      | 0          | 5.0000      
microwave oven | 7      | 116        | 4.0000      
microwave oven | 8      | 109        | 4.0000      
microwave oven | 9      | 21         | 4.0000      
microwave oven | 10     | 112        | 4.0000      

giraffe  | 1      | 0          | 6.0000      
giraffe  | 2      | 1          | 3.0000      
giraffe  | 3      | 121        | 2.0000      
giraffe  | 4      | 116        | 2.0000      
giraffe  | 5      | 80         | 2.0000      
giraffe  | 6      | 132        | 2.0000      
giraffe  | 7      | 3          | 2.0000      
giraffe  | 8      | 74         | 1.0000      
giraffe  | 9      | 70         | 1.0000      
giraffe  | 10     | 154        | 1.0000      

person + car | 1      | 198        | 91051.0000  
person + car | 2      | 199        | 90995.0000  
person + car | 3      | 195        | 90972.0000  
person + car | 4      | 196        | 90854.0000  
person + car | 5      | 194        | 90660.0000  
person + car | 6      | 191        | 90657.0000  
person + car | 7      | 190        | 90623.0000  
person + car | 8      | 197        | 90613.0000  
person + car | 9      | 189        | 90552.0000  
person + car | 10     | 188        | 90526.0000  

total    | 1      | 198        | 91498.0000  
total    | 2      | 199        | 91459.0000  
total    | 3      | 195        | 91432.0000  
total    | 4      | 196        | 91339.0000  
total    | 5      | 194        | 91135.0000  
total    | 6      | 191        | 91134.0000  
total    | 7      | 190        | 91122.0000  
total    | 8      | 197        | 91066.0000  
total    | 9      | 189        | 91007.0000  
total    | 10     | 188        | 90990.0000  

==================================================

p: ../results/model_1/teaspoon_tgt_23
--------------------------------------------------
Column   | Rank   | Position   | Value       
--------------------------------------------------
person   | 1      | 0          | 493.0000    
person   | 2      | 10         | 318.0000    
person   | 3      | 1          | 302.0000    
person   | 4      | 8          | 290.0000    
person   | 5      | 6          | 287.0000    
person   | 6      | 13         | 281.0000    
person   | 7      | 3          | 271.0000    
person   | 8      | 12         | 270.0000    
person   | 9      | 7          | 262.0000    
person   | 10     | 15         | 257.0000    

car      | 1      | 0          | 40.0000     
car      | 2      | 1          | 32.0000     
car      | 3      | 9          | 24.0000     
car      | 4      | 16         | 22.0000     
car      | 5      | 7          | 22.0000     
car      | 6      | 3          | 21.0000     
car      | 7      | 171        | 20.0000     
car      | 8      | 183        | 19.0000     
car      | 9      | 135        | 19.0000     
car      | 10     | 198        | 19.0000     

microwave oven | 1      | 1          | 9.0000      
microwave oven | 2      | 0          | 5.0000      
microwave oven | 3      | 2          | 3.0000      
microwave oven | 4      | 3          | 3.0000      
microwave oven | 5      | 10         | 1.0000      
microwave oven | 6      | 7          | 1.0000      
microwave oven | 7      | 5          | 1.0000      
microwave oven | 8      | 6          | 1.0000      
microwave oven | 9      | 4          | 1.0000      
microwave oven | 10     | 139        | 0.0000      

giraffe  | 1      | 196        | 69733.0000  
giraffe  | 2      | 197        | 69654.0000  
giraffe  | 3      | 194        | 69477.0000  
giraffe  | 4      | 199        | 69403.0000  
giraffe  | 5      | 198        | 69371.0000  
giraffe  | 6      | 195        | 69344.0000  
giraffe  | 7      | 192        | 69039.0000  
giraffe  | 8      | 193        | 69018.0000  
giraffe  | 9      | 191        | 68797.0000  
giraffe  | 10     | 190        | 68531.0000  

person + car | 1      | 0          | 533.0000    
person + car | 2      | 10         | 335.0000    
person + car | 3      | 1          | 334.0000    
person + car | 4      | 8          | 304.0000    
person + car | 5      | 6          | 304.0000    
person + car | 6      | 13         | 295.0000    
person + car | 7      | 3          | 292.0000    
person + car | 8      | 12         | 288.0000    
person + car | 9      | 7          | 284.0000    
person + car | 10     | 9          | 275.0000    

total    | 1      | 196        | 70109.0000  
total    | 2      | 197        | 70046.0000  
total    | 3      | 194        | 69889.0000  
total    | 4      | 199        | 69847.0000  
total    | 5      | 198        | 69785.0000  
total    | 6      | 195        | 69754.0000  
total    | 7      | 192        | 69442.0000  
total    | 8      | 193        | 69412.0000  
total    | 9      | 191        | 69205.0000  
total    | 10     | 190        | 68932.0000  

==================================================

p: ../results/model_1/teastatic_tgt_68
--------------------------------------------------
Column   | Rank   | Position   | Value       
--------------------------------------------------
person   | 1      | 0          | 493.0000    
person   | 2      | 1          | 250.0000    
person   | 3      | 186        | 222.0000    
person   | 4      | 177        | 219.0000    
person   | 5      | 173        | 219.0000    
person   | 6      | 178        | 218.0000    
person   | 7      | 152        | 218.0000    
person   | 8      | 171        | 218.0000    
person   | 9      | 198        | 217.0000    
person   | 10     | 163        | 217.0000    

car      | 1      | 0          | 40.0000     
car      | 2      | 1          | 24.0000     
car      | 3      | 13         | 21.0000     
car      | 4      | 2          | 19.0000     
car      | 5      | 11         | 19.0000     
car      | 6      | 4          | 17.0000     
car      | 7      | 143        | 17.0000     
car      | 8      | 10         | 16.0000     
car      | 9      | 5          | 16.0000     
car      | 10     | 8          | 15.0000     

microwave oven | 1      | 199        | 55434.0000  
microwave oven | 2      | 197        | 55247.0000  
microwave oven | 3      | 198        | 54269.0000  
microwave oven | 4      | 195        | 54021.0000  
microwave oven | 5      | 196        | 53985.0000  
microwave oven | 6      | 191        | 53524.0000  
microwave oven | 7      | 193        | 53409.0000  
microwave oven | 8      | 189        | 53170.0000  
microwave oven | 9      | 194        | 53115.0000  
microwave oven | 10     | 192        | 52931.0000  

giraffe  | 1      | 1          | 6.0000      
giraffe  | 2      | 0          | 6.0000      
giraffe  | 3      | 196        | 3.0000      
giraffe  | 4      | 121        | 3.0000      
giraffe  | 5      | 3          | 3.0000      
giraffe  | 6      | 157        | 2.0000      
giraffe  | 7      | 192        | 2.0000      
giraffe  | 8      | 93         | 2.0000      
giraffe  | 9      | 155        | 2.0000      
giraffe  | 10     | 176        | 2.0000      

person + car | 1      | 0          | 533.0000    
person + car | 2      | 1          | 274.0000    
person + car | 3      | 186        | 228.0000    
person + car | 4      | 2          | 225.0000    
person + car | 5      | 173        | 224.0000    
person + car | 6      | 174        | 224.0000    
person + car | 7      | 177        | 223.0000    
person + car | 8      | 171        | 223.0000    
person + car | 9      | 178        | 222.0000    
person + car | 10     | 163        | 222.0000    

total    | 1      | 199        | 56009.0000  
total    | 2      | 197        | 55793.0000  
total    | 3      | 198        | 54823.0000  
total    | 4      | 195        | 54546.0000  
total    | 5      | 196        | 54520.0000  
total    | 6      | 191        | 54023.0000  
total    | 7      | 193        | 53904.0000  
total    | 8      | 194        | 53658.0000  
total    | 9      | 189        | 53640.0000  
total    | 10     | 192        | 53432.0000  

==================================================

p: ../results/model_1/teastatic_tgt_0_2
--------------------------------------------------
Column   | Rank   | Position   | Value       
--------------------------------------------------
person   | 1      | 193        | 49587.0000  
person   | 2      | 198        | 49317.0000  
person   | 3      | 199        | 49255.0000  
person   | 4      | 190        | 49193.0000  
person   | 5      | 185        | 49096.0000  
person   | 6      | 191        | 49086.0000  
person   | 7      | 195        | 48909.0000  
person   | 8      | 197        | 48792.0000  
person   | 9      | 192        | 48729.0000  
person   | 10     | 196        | 48553.0000  

car      | 1      | 182        | 47118.0000  
car      | 2      | 197        | 46911.0000  
car      | 3      | 180        | 46909.0000  
car      | 4      | 184        | 46805.0000  
car      | 5      | 194        | 46714.0000  
car      | 6      | 195        | 46539.0000  
car      | 7      | 196        | 46414.0000  
car      | 8      | 199        | 46311.0000  
car      | 9      | 191        | 46243.0000  
car      | 10     | 186        | 46109.0000  

microwave oven | 1      | 0          | 5.0000      
microwave oven | 2      | 3          | 4.0000      
microwave oven | 3      | 71         | 3.0000      
microwave oven | 4      | 67         | 3.0000      
microwave oven | 5      | 93         | 3.0000      
microwave oven | 6      | 41         | 3.0000      
microwave oven | 7      | 56         | 2.0000      
microwave oven | 8      | 57         | 2.0000      
microwave oven | 9      | 58         | 2.0000      
microwave oven | 10     | 61         | 2.0000      

giraffe  | 1      | 190        | 8.0000      
giraffe  | 2      | 177        | 8.0000      
giraffe  | 3      | 153        | 8.0000      
giraffe  | 4      | 150        | 7.0000      
giraffe  | 5      | 180        | 6.0000      
giraffe  | 6      | 185        | 6.0000      
giraffe  | 7      | 162        | 6.0000      
giraffe  | 8      | 167        | 6.0000      
giraffe  | 9      | 171        | 6.0000      
giraffe  | 10     | 0          | 6.0000      

person + car | 1      | 197        | 95703.0000  
person + car | 2      | 199        | 95566.0000  
person + car | 3      | 195        | 95448.0000  
person + car | 4      | 193        | 95402.0000  
person + car | 5      | 191        | 95329.0000  
person + car | 6      | 198        | 95230.0000  
person + car | 7      | 196        | 94967.0000  
person + car | 8      | 190        | 94912.0000  
person + car | 9      | 192        | 94801.0000  
person + car | 10     | 194        | 94243.0000  

total    | 1      | 197        | 96212.0000  
total    | 2      | 199        | 96106.0000  
total    | 3      | 195        | 95926.0000  
total    | 4      | 193        | 95908.0000  
total    | 5      | 191        | 95816.0000  
total    | 6      | 198        | 95678.0000  
total    | 7      | 190        | 95444.0000  
total    | 8      | 196        | 95407.0000  
total    | 9      | 192        | 95296.0000  
total    | 10     | 194        | 94710.0000  

==================================================

p: ../results/model_1/teaspoon_tgt_0
--------------------------------------------------
Column   | Rank   | Position   | Value       
--------------------------------------------------
person   | 1      | 197        | 85827.0000  
person   | 2      | 199        | 85677.0000  
person   | 3      | 196        | 85419.0000  
person   | 4      | 198        | 85242.0000  
person   | 5      | 195        | 85100.0000  
person   | 6      | 190        | 84950.0000  
person   | 7      | 192        | 84908.0000  
person   | 8      | 189        | 84894.0000  
person   | 9      | 191        | 84882.0000  
person   | 10     | 194        | 84868.0000  

car      | 1      | 1          | 50.0000     
car      | 2      | 2          | 43.0000     
car      | 3      | 0          | 40.0000     
car      | 4      | 156        | 39.0000     
car      | 5      | 142        | 39.0000     
car      | 6      | 185        | 38.0000     
car      | 7      | 183        | 37.0000     
car      | 8      | 161        | 37.0000     
car      | 9      | 192        | 36.0000     
car      | 10     | 125        | 34.0000     

microwave oven | 1      | 0          | 5.0000      
microwave oven | 2      | 5          | 3.0000      
microwave oven | 3      | 1          | 2.0000      
microwave oven | 4      | 4          | 2.0000      
microwave oven | 5      | 11         | 1.0000      
microwave oven | 6      | 94         | 1.0000      
microwave oven | 7      | 54         | 1.0000      
microwave oven | 8      | 8          | 1.0000      
microwave oven | 9      | 2          | 1.0000      
microwave oven | 10     | 3          | 1.0000      

giraffe  | 1      | 11         | 10.0000     
giraffe  | 2      | 4          | 9.0000      
giraffe  | 3      | 58         | 8.0000      
giraffe  | 4      | 104        | 8.0000      
giraffe  | 5      | 25         | 8.0000      
giraffe  | 6      | 8          | 8.0000      
giraffe  | 7      | 7          | 7.0000      
giraffe  | 8      | 106        | 7.0000      
giraffe  | 9      | 39         | 7.0000      
giraffe  | 10     | 169        | 6.0000      

person + car | 1      | 197        | 85851.0000  
person + car | 2      | 199        | 85701.0000  
person + car | 3      | 196        | 85452.0000  
person + car | 4      | 198        | 85267.0000  
person + car | 5      | 195        | 85123.0000  
person + car | 6      | 190        | 84969.0000  
person + car | 7      | 192        | 84944.0000  
person + car | 8      | 189        | 84928.0000  
person + car | 9      | 191        | 84911.0000  
person + car | 10     | 194        | 84898.0000  

total    | 1      | 197        | 86221.0000  
total    | 2      | 199        | 86108.0000  
total    | 3      | 196        | 85872.0000  
total    | 4      | 198        | 85652.0000  
total    | 5      | 195        | 85508.0000  
total    | 6      | 190        | 85376.0000  
total    | 7      | 192        | 85330.0000  
total    | 8      | 191        | 85318.0000  
total    | 9      | 194        | 85313.0000  
total    | 10     | 189        | 85297.0000  

==================================================

