p: ../results/model_2/overload_tgt_none
--------------------------------------------------
Column   | Rank   | Position   | Value       
microwave oven | 2      | 1          | 13.0000     
microwave oven | 3      | 3          | 8.0000      
microwave oven | 4      | 4          | 8.0000      
microwave oven | 5      | 0          | 5.0000      
microwave oven | 6      | 12         | 2.0000      
microwave oven | 7      | 8          | 2.0000      
microwave oven | 8      | 5          | 2.0000      
microwave oven | 9      | 26         | 1.0000      
microwave oven | 10     | 24         | 1.0000      

giraffe  | 1      | 1          | 11.0000     
giraffe  | 2      | 2          | 8.0000      
giraffe  | 3      | 3          | 6.0000      
giraffe  | 4      | 0          | 6.0000      
giraffe  | 5      | 6          | 5.0000      
giraffe  | 6      | 4          | 4.0000      
giraffe  | 7      | 10         | 3.0000      
giraffe  | 8      | 5          | 2.0000      
giraffe  | 9      | 9          | 2.0000      
giraffe  | 10     | 97         | 1.0000      

person + car | 1      | 4          | 1689.0000   
person + car | 2      | 5          | 1620.0000   
person + car | 3      | 3          | 1588.0000   
person + car | 4      | 2          | 1549.0000   
person + car | 5      | 7          | 1477.0000   
person + car | 6      | 6          | 1385.0000   
person + car | 7      | 17         | 1313.0000   
person + car | 8      | 9          | 1292.0000   
person + car | 9      | 11         | 1265.0000   
person + car | 10     | 14         | 1256.0000   

==================================================

