p: ../results/model_2/teaspoon_tgt_none
--------------------------------------------------
Column   | Rank   | Position   | Value       
person   | 9      | 143        | 2021.0000   
person   | 10     | 141        | 2019.0000   

car      | 1      | 198        | 993.0000    
car      | 2      | 199        | 988.0000    
car      | 3      | 186        | 975.0000    
car      | 4      | 190        | 974.0000    
car      | 5      | 160        | 971.0000    
car      | 6      | 151        | 971.0000    
car      | 7      | 182        | 971.0000    
car      | 8      | 195        | 971.0000    
car      | 9      | 184        | 968.0000    
car      | 10     | 192        | 967.0000    

microwave oven | 1      | 11         | 9.0000      
microwave oven | 2      | 8          | 7.0000      
microwave oven | 3      | 38         | 6.0000      
microwave oven | 4      | 63         | 6.0000      
microwave oven | 5      | 7          | 6.0000      
microwave oven | 6      | 71         | 6.0000      
microwave oven | 7      | 31         | 5.0000      
microwave oven | 8      | 49         | 5.0000      
microwave oven | 9      | 64         | 5.0000      
microwave oven | 10     | 27         | 5.0000      

giraffe  | 1      | 183        | 71.0000     
giraffe  | 2      | 179        | 68.0000     
giraffe  | 3      | 158        | 67.0000     
giraffe  | 4      | 121        | 66.0000     
giraffe  | 5      | 172        | 66.0000     
giraffe  | 6      | 178        | 66.0000     
giraffe  | 7      | 156        | 65.0000     
giraffe  | 8      | 129        | 65.0000     
giraffe  | 9      | 159        | 64.0000     
giraffe  | 10     | 166        | 64.0000     

person + car | 1      | 144        | 2992.0000   
person + car | 2      | 146        | 2991.0000   
person + car | 3      | 166        | 2986.0000   
person + car | 4      | 168        | 2970.0000   
person + car | 5      | 160        | 2969.0000   
person + car | 6      | 173        | 2967.0000   
person + car | 7      | 165        | 2961.0000   
person + car | 8      | 147        | 2958.0000   
person + car | 9      | 152        | 2955.0000   
person + car | 10     | 151        | 2954.0000   

==================================================

p: ../results/model_1/teastatic_tgt_none
--------------------------------------------------
Column   | Rank   | Position   | Value       
--------------------------------------------------
person   | 1      | 172        | 1856.0000   
person   | 2      | 161        | 1853.0000   
person   | 3      | 162        | 1853.0000   
person   | 4      | 157        | 1852.0000   
person   | 5      | 174        | 1852.0000   
person   | 6      | 163        | 1850.0000   
person   | 7      | 173        | 1847.0000   
person   | 8      | 156        | 1846.0000   
person   | 9      | 123        | 1846.0000   
person   | 10     | 149        | 1841.0000   

car      | 1      | 174        | 625.0000    
car      | 2      | 171        | 623.0000    
car      | 3      | 182        | 622.0000    
car      | 4      | 177        | 621.0000    
car      | 5      | 168        | 620.0000    
car      | 6      | 167        | 620.0000    
car      | 7      | 158        | 619.0000    
car      | 8      | 169        | 617.0000    
car      | 9      | 172        | 617.0000    
car      | 10     | 184        | 614.0000    

microwave oven | 1      | 18         | 13.0000     
microwave oven | 2      | 13         | 12.0000     
microwave oven | 3      | 17         | 11.0000     
microwave oven | 4      | 15         | 11.0000     
microwave oven | 5      | 188        | 10.0000     
microwave oven | 6      | 10         | 10.0000     
microwave oven | 7      | 20         | 10.0000     
microwave oven | 8      | 16         | 9.0000      
microwave oven | 9      | 19         | 9.0000      
microwave oven | 10     | 68         | 9.0000      

giraffe  | 1      | 65         | 57.0000     
giraffe  | 2      | 67         | 56.0000     
giraffe  | 3      | 179        | 55.0000     
giraffe  | 4      | 112        | 54.0000     
giraffe  | 5      | 110        | 54.0000     
giraffe  | 6      | 106        | 54.0000     
giraffe  | 7      | 104        | 54.0000     
giraffe  | 8      | 103        | 54.0000     
giraffe  | 9      | 134        | 53.0000     
giraffe  | 10     | 161        | 53.0000     

person + car | 1      | 174        | 2477.0000   
person + car | 2      | 172        | 2473.0000   
person + car | 3      | 157        | 2463.0000   
person + car | 4      | 161        | 2463.0000   
person + car | 5      | 158        | 2459.0000   
person + car | 6      | 162        | 2456.0000   
person + car | 7      | 167        | 2454.0000   
person + car | 8      | 168        | 2454.0000   
person + car | 9      | 171        | 2450.0000   
person + car | 10     | 173        | 2449.0000   

==================================================

