p: ../results/model_2/overload_tgt_none
--------------------------------------------------
Column   | Rank   | Position   | Value       
car      | 4      | 15         | 40.0000     
car      | 5      | 3          | 39.0000     
car      | 6      | 11         | 38.0000     
car      | 7      | 14         | 36.0000     
car      | 8      | 8          | 36.0000     
car      | 9      | 10         | 35.0000     
car      | 10     | 12         | 35.0000     

microwave oven | 1      | 0          | 5.0000      
microwave oven | 2      | 1          | 3.0000      
microwave oven | 3      | 2          | 3.0000      
microwave oven | 4      | 10         | 3.0000      
microwave oven | 5      | 9          | 2.0000      
microwave oven | 6      | 11         | 2.0000      
microwave oven | 7      | 134        | 1.0000      
microwave oven | 8      | 135        | 1.0000      
microwave oven | 9      | 136        | 1.0000      
microwave oven | 10     | 133        | 1.0000      

giraffe  | 1      | 131        | 4.0000      
giraffe  | 2      | 137        | 4.0000      
giraffe  | 3      | 136        | 4.0000      
giraffe  | 4      | 135        | 4.0000      
giraffe  | 5      | 134        | 4.0000      
giraffe  | 6      | 133        | 4.0000      
giraffe  | 7      | 132        | 4.0000      
giraffe  | 8      | 128        | 4.0000      
giraffe  | 9      | 126        | 4.0000      
giraffe  | 10     | 127        | 4.0000      

person + car | 1      | 3          | 613.0000    
person + car | 2      | 2          | 598.0000    
person + car | 3      | 1          | 546.0000    
person + car | 4      | 5          | 539.0000    
person + car | 5      | 20         | 532.0000    
person + car | 6      | 6          | 531.0000    
person + car | 7      | 39         | 531.0000    
person + car | 8      | 14         | 530.0000    
person + car | 9      | 30         | 528.0000    
person + car | 10     | 43         | 528.0000    

==================================================

p: ../results/model_1/phantom_tgt_none
--------------------------------------------------
Column   | Rank   | Position   | Value       
--------------------------------------------------
person   | 1      | 7          | 480.0000    
person   | 2      | 25         | 473.0000    
person   | 3      | 19         | 472.0000    
person   | 4      | 15         | 469.0000    
person   | 5      | 14         | 464.0000    
person   | 6      | 41         | 464.0000    
person   | 7      | 3          | 463.0000    
person   | 8      | 5          | 463.0000    
person   | 9      | 36         | 460.0000    
person   | 10     | 6          | 458.0000    

car      | 1      | 49         | 46.0000     
car      | 2      | 18         | 43.0000     
car      | 3      | 6          | 43.0000     
car      | 4      | 2          | 42.0000     
car      | 5      | 12         | 42.0000     
car      | 6      | 79         | 41.0000     
car      | 7      | 24         | 40.0000     
car      | 8      | 78         | 40.0000     
car      | 9      | 9          | 38.0000     
car      | 10     | 57         | 38.0000     

microwave oven | 1      | 2          | 7.0000      
microwave oven | 2      | 10         | 7.0000      
microwave oven | 3      | 1          | 6.0000      
microwave oven | 4      | 137        | 5.0000      
microwave oven | 5      | 126        | 5.0000      
microwave oven | 6      | 136        | 5.0000      
microwave oven | 7      | 135        | 5.0000      
microwave oven | 8      | 134        | 5.0000      
microwave oven | 9      | 133        | 5.0000      
microwave oven | 10     | 127        | 5.0000      

giraffe  | 1      | 0          | 6.0000      
giraffe  | 2      | 55         | 4.0000      
giraffe  | 3      | 91         | 4.0000      
giraffe  | 4      | 2          | 4.0000      
giraffe  | 5      | 28         | 3.0000      
giraffe  | 6      | 87         | 2.0000      
giraffe  | 7      | 52         | 2.0000      
giraffe  | 8      | 51         | 2.0000      
giraffe  | 9      | 9          | 2.0000      
giraffe  | 10     | 29         | 2.0000      

person + car | 1      | 7          | 509.0000    
person + car | 2      | 25         | 503.0000    
person + car | 3      | 19         | 502.0000    
person + car | 4      | 6          | 501.0000    
person + car | 5      | 15         | 499.0000    
person + car | 6      | 3          | 499.0000    
person + car | 7      | 5          | 499.0000    
person + car | 8      | 14         | 495.0000    
person + car | 9      | 41         | 494.0000    
person + car | 10     | 58         | 491.0000    

==================================================

p: ../results/model_2/slowtrack_tgt_none
--------------------------------------------------
Column   | Rank   | Position   | Value       
--------------------------------------------------
person   | 1      | 84         | 1957.0000   
person   | 2      | 81         | 1949.0000   
person   | 3      | 82         | 1933.0000   
person   | 4      | 73         | 1930.0000   
person   | 5      | 80         | 1926.0000   
person   | 6      | 75         | 1913.0000   
person   | 7      | 68         | 1912.0000   
person   | 8      | 76         | 1903.0000   
person   | 9      | 71         | 1902.0000   
person   | 10     | 67         | 1901.0000   

car      | 1      | 198        | 874.0000    
car      | 2      | 185        | 863.0000    
car      | 3      | 194        | 863.0000    
car      | 4      | 196        | 859.0000    
car      | 5      | 192        | 856.0000    
car      | 6      | 188        | 854.0000    
car      | 7      | 178        | 846.0000    
car      | 8      | 193        | 841.0000    
car      | 9      | 175        | 835.0000    
car      | 10     | 190        | 831.0000    

microwave oven | 1      | 125        | 25.0000     
microwave oven | 2      | 124        | 13.0000     
microwave oven | 3      | 64         | 12.0000     
microwave oven | 4      | 113        | 12.0000     
microwave oven | 5      | 104        | 12.0000     
microwave oven | 6      | 122        | 11.0000     
microwave oven | 7      | 176        | 11.0000     
microwave oven | 8      | 175        | 10.0000     
microwave oven | 9      | 118        | 10.0000     
microwave oven | 10     | 117        | 10.0000     

giraffe  | 1      | 18         | 64.0000     
giraffe  | 2      | 79         | 62.0000     
giraffe  | 3      | 26         | 59.0000     
giraffe  | 4      | 82         | 58.0000     
giraffe  | 5      | 58         | 58.0000     
giraffe  | 6      | 60         | 58.0000     
giraffe  | 7      | 81         | 58.0000     
giraffe  | 8      | 84         | 57.0000     
giraffe  | 9      | 77         | 56.0000     
giraffe  | 10     | 80         | 56.0000     

person + car | 1      | 84         | 2710.0000   
person + car | 2      | 80         | 2662.0000   
person + car | 3      | 198        | 2651.0000   
person + car | 4      | 82         | 2649.0000   
person + car | 5      | 178        | 2644.0000   
person + car | 6      | 81         | 2639.0000   
person + car | 7      | 165        | 2635.0000   
person + car | 8      | 176        | 2635.0000   
person + car | 9      | 196        | 2630.0000   
person + car | 10     | 78         | 2630.0000   

==================================================

p: ../results/model_0/slowtrack_tgt_none
--------------------------------------------------
Column   | Rank   | Position   | Value       
--------------------------------------------------
person   | 1      | 184        | 1138.0000   
person   | 2      | 180        | 1126.0000   
person   | 3      | 185        | 1121.0000   
person   | 4      | 186        | 1121.0000   
person   | 5      | 174        | 1116.0000   
person   | 6      | 178        | 1116.0000   
person   | 7      | 173        | 1115.0000   
person   | 8      | 192        | 1110.0000   
person   | 9      | 188        | 1109.0000   
person   | 10     | 171        | 1107.0000   

car      | 1      | 188        | 283.0000    
car      | 2      | 190        | 283.0000    
car      | 3      | 130        | 281.0000    
car      | 4      | 127        | 280.0000    
car      | 5      | 136        | 278.0000    
